"","Gene","count","Disease_specificity"
"658","ZBTB18",162,0.0355653128430296
"659","HNRNPA2B1",160,0.0351262349066959
"660","GNRH1",243,0.0533479692645445
"661","GABRB2",206,0.045225027442371
"662","TAF13",125,0.0274423710208562
"663","COL1A2",807,0.177167947310648
"664","CFAP410",202,0.0443468715697036
"665","ACTL6B",603,0.13238199780461
"666","PSMD12",642,0.140944017563117
"667","RRAS2",355,0.0779363336992316
"668","DGCR2",165,0.0362239297475302
"669","GOT2",93,0.020417124039517
"670","ABL1",203,0.0445664105378705
"671","TERC",470,0.103183315038419
"672","NNT",172,0.0377607025246981
"673","CNOT1",258,0.0566410537870472
"674","TACO1",174,0.0381997804610318
"675","EFL1",343,0.0753018660812294
"676","CHCHD10",490,0.107574094401756
"677","UFD1",425,0.0933040614709111
"678","DPH1",326,0.071569703622393
"679","RECQL4",946,0.20768386388584
"680","RIN2",277,0.0608122941822173
"681","MTFMT",241,0.0529088913282108
"682","WNT5A",536,0.117672886937431
"683","WNT4",304,0.0667398463227223
"684","SEPTIN9",130,0.0285400658616905
"685","COL5A1",408,0.0895718990120746
"686","DOCK3",354,0.0777167947310648
"687","ERCC1",516,0.113282107574094
"688","IFT80",373,0.0818880351262349
"689","DYNC2I2",391,0.0858397365532382
"690","CEP164",129,0.0283205268935236
"691","LIG4",693,0.152140504939627
"692","CTSA",127,0.0278814489571899
"693","UPF3B",395,0.0867178924259056
"694","GP1BB",640,0.140504939626784
"695","WDR81",200,0.0439077936333699
"696","UFSP2",144,0.0316136114160263
"697","SLC35C1",385,0.0845225027442371
"698","PIGA",376,0.0825466520307355
"699","MAT2A",151,0.0331503841931943
"700","RPS6KA3",809,0.177607025246981
"701","RSPRY1",425,0.0933040614709111
"702","PIK3CA",1496,0.328430296377607
"703","EVC",516,0.113282107574094
"704","AP4E1",285,0.0625686059275521
"705","SEMA3E",695,0.15257958287596
"706","ATP5F1D",60,0.013172338090011
"707","GORAB",225,0.0493962678375412
"708","RBM28",217,0.0476399560922064
"709","HSPA9",158,0.0346871569703622
"710","RASA2",218,0.0478594950603732
"711","CBL",504,0.110647639956092
"712","TRPS1",659,0.144676180021954
"713","SOX9",635,0.13940724478595
"714","SETD5",748,0.164215148188804
"715","P4HB",166,0.036443468715697
"716","GYS2",60,0.013172338090011
"717","RPL35",260,0.0570801317233809
"718","BTK",386,0.0847420417124039
"719","FN1",227,0.0498353457738749
"720","TP53RK",230,0.0504939626783754
"721","TRNS1",616,0.135236004390779
